order_id,user_life_cycle_type,user_id,Count,actually_paid,user_mod_100
pha4dikog8210219171725085,,"149,064,324",1,49,24
9m227qmmez210219195229834,,"149,064,141",1,50,41
62c3aohfo4210219165516337,,"149,063,151",1,15,51
taxol6v70t210222151009528,,"149,058,571",1,150,71
nhnj5blp3q210219155601360,,"149,056,699",1,100,99
pe1vr8csox210219151148327,,"149,053,688",1,60,88
kebk17vlys210219140845418,,"149,050,418",1,100,18
lcvihev15u210219123316240,,"149,043,749",1,10,49
mnuavpex6w210221141156368,,"149,042,748",1,200,48
evgiwk45wf210219133941966,,"149,035,691",1,398,91
otlry1wqvj210219111912494,,"149,034,910",1,200,10
fyabo5lq5b210219102715580,,"149,032,590",1,20,90
i6z4alqqvi210219080958008,,"149,021,375",1,20,75
tgc4s556w4210219063801805,,"149,018,858",1,200,58
70sog83qzc210219061431384,,"149,018,350",1,10,50
o6l5w7m8t1210221221214575,,"149,015,673",1,100,73
ibmcfxzk2a210219121406054,,"149,009,775",1,20,75
uq0z41u2an210219151309413,,"149,006,747",1,200,47
15lkaa2028210218201728114,,"148,999,474",1,49,74
46w2xny7at210218205333474,,"148,996,802",1,40,2
kthkkkdu53210218200736503,,"148,993,751",1,10,51
6oz29vatk0210219181139486,,"148,992,724",1,150,24
p1fbv6r9ot210218181010909,,"148,990,935",1,30,35
dkoutwtil1210218174518787,,"148,988,547",1,0,47
m3y1dy2a6i210218192124171,,"148,986,027",1,49,27
bfpq2x29pv210218153214042,,"148,979,606",1,60,6
qjoolt0zzy210218151941894,,"148,978,357",1,68,57
tudo2ktzap210219130408618,,"148,971,835",1,49,35
5awfqst8xf210218140516388,,"148,970,168",1,20,68
ayakmlnunw210219140158268,,"148,965,697",1,30,97
ez5hcr9hxt210218132625717,,"148,959,013",1,100,13
0dodl8bklz210218120053364,,"148,958,937",1,388,37
4vmj1qmx30210219175700634,,"148,958,937",1,388,37
d21z2l0jm2210220150303952,,"148,957,939",1,0,39
f1zv4nxl2s210220150100255,,"148,957,939",1,0,39
3t14wjubkc210218105227360,,"148,957,072",1,288,72
i9633a9i4i210218122623518,,"148,954,676",1,480,76
f2hzuco1f2210219214927510,,"148,950,483",1,5,83
175qwy11kn210219090136315,,"148,947,876",1,240,76
qteg1s7lp3210218104044301,,"148,945,193",1,120,93
5ggg494p83210218084516054,,"148,943,102",1,136,2
8zjxwribe4210222153542558,,"148,943,102",1,136,2
n85cr64fpp210218134126185,,"148,938,321",1,20,21
t2i2irgx73210218160642862,,"148,935,482",1,136,82
pdtdzx2skt210218104147903,,"148,934,288",1,20,88
xlnh7hv8yq210218032529369,,"148,930,952",1,50,52
zp9atzvnnl210218211123267,,"148,927,819",1,200,19
pjlcpp420k210217210242678,,"148,926,710",1,50,10
epvkuducgq210217205820380,,"148,926,250",1,99,50
rmty6wfeay210219140630682,,"148,924,127",1,20,27
wgq4j12yqs210218183032417,,"148,922,972",1,60,72
1a1g26b05q210219120838042,,"148,920,479",1,80,79
gtoxayh4fx210217154035953,,"148,906,729",1,39,29
p95wgosunq210217144139616,,"148,902,273",1,398,73
goxgwxm6bw210218114001349,,"148,899,051",1,50,51
65hcnxrdbu210217131200275,,"148,898,216",1,100,16
922iibrhqq210217152408323,,"148,897,385",1,100,85
rhvzisl87x210217173005006,,"148,897,254",1,328,54
x56f86xnva210222164005904,,"148,894,886",1,300,86
cba21xnl0j210217181632704,,"148,893,395",1,20,95
4k9kc1guij210217113722741,,"148,892,321",1,200,21
609w1mxuj3210217114139807,,"148,891,706",1,200,6
o0cb8eu9s4210217103729659,,"148,887,324",1,39,24
608638uiey210217111220399,,"148,883,616",1,88,16
e0t9um5a6j210217104109705,,"148,883,616",1,116,16
o5t7f8rnaw210217112439127,,"148,883,616",1,150,16
vagbz9ihxs210217094916085,,"148,883,550",1,60,50
rhw1f2iurw210217093237724,,"148,882,454",1,200,54
4rprhvt0y2210217095957594,,"148,881,270",1,50,70
1hyb3rhw7i210217082212548,,"148,877,403",1,60,3
wgtmrmha3m210217202213322,,"148,875,212",1,0,12
2be2mbhh4p210219140811992,,"148,872,598",1,30,98
3um7x2pz40210217010525023,,"148,872,598",1,30,98
a6livnn1xl210217155757732,,"148,871,880",1,50,80
73ispvvz07210216215336229,,"148,865,290",1,30,90
quhttnpgm2210216212126317,,"148,862,956",1,300,56
yfk40oimsa210216210353158,,"148,862,500",1,30,0
eqrorq8f3n210216203745003,,"148,858,427",1,300,27
lzkmu7sxpq210222101018226,,"148,856,943",1,20,43
669ns8lkty210216191445371,,"148,855,718",1,30,18
mg81983ycy210216212056196,,"148,853,708",1,288,8
nw34eypqx2210216181446996,,"148,852,786",1,50,86
9skczvdi3g210216175833543,,"148,852,033",1,50,33
rqbcixdrcp210216123114012,,"148,828,889",1,10,89
fcujixho41210216132435250,,"148,824,713",1,30,13
8de5y1h8nt210216113641031,,"148,822,672",1,300,72
etsikl25z4210216035320996,,"148,816,177",1,100,77
6uxwec22xy210216012134042,,"148,815,019",1,50,19
7ftf4ys59h210221194043131,,"148,813,627",1,50,27
5af6nsr1vx210215225327367,,"148,810,746",1,20,46
xq3cy9ro72210219080914983,,"148,809,444",1,68,44
a0mhvhgdzb210215214750350,,"148,807,315",1,30,15
c7my1ddkbw210215204847220,,"148,803,911",1,49,11
51iyvlynvx210215201055182,,"148,802,049",1,25,49
oecxf2bccl210215175838040,,"148,795,238",1,99,38
hrz5hvcrxs210215183729481,,"148,791,769",1,200,69
04vsq1lj8o210215154549972,,"148,789,325",1,200,25
9ram741l0z210216160455754,,"148,789,325",1,200,25
eze652o0do210216155827291,,"148,789,325",1,200,25
9hd0vd6vyy210215134036169,,"148,782,262",1,100,62
c391yjukb0210215132844386,,"148,782,053",1,50,53
yoee24zpue210215123940317,,"148,780,007",1,20,7
5mrgvgyuru210215120922425,,"148,778,535",1,10,35
8lzjepybtw210215121216972,,"148,778,535",1,20,35
foojnrsb0p210215120017026,,"148,777,421",1,50,21
ayb8yaelen210222122600300,,"148,770,036",1,200,36
74ilxprr1z210215080428787,,"148,764,363",1,50,63
arnk9251u4210215072638667,,"148,764,092",1,0,92
aq3orvtckj210215144910792,,"148,759,399",1,20,99
x2vr59hhlv210215150508947,,"148,759,399",1,20,99
e1xicgq4gw210215001436082,,"148,758,678",1,50,78
d0j9u7p1wa210214205041683,,"148,750,826",1,60,26
6rhgcbjsrd210214210256910,,"148,750,331",1,100,31
zezdxn6vm9210214183914661,,"148,745,815",1,200,15
iyzmlxk3a5210214173822178,,"148,743,623",1,300,23
rkwk2sfpyb210215094111434,,"148,743,592",1,100,92
fm4127qyia210219200649534,,"148,742,188",1,360,88
i5k4vlb7yo210214165307393,,"148,742,115",1,30,15
k3weo88040210214150919073,,"148,738,184",1,150,84
lxxf89rbk7210214150847039,,"148,738,026",1,30,26
reygl3urf0210214125038404,,"148,733,286",1,80,86
yckk5fgrs4210214124809801,,"148,733,274",1,60,74
jfj5o2qzuw210214110748950,,"148,728,515",1,398,15
38x77at1cf210215104339919,,"148,727,413",1,300,13
ay650a2mg8210214102800541,,"148,726,118",1,100,18
4wvw2mjpcy210214104400486,,"148,722,383",1,200,83
uhropyolf1210214112436441,,"148,715,589",1,0,89
39cg5p40qj210215203133433,,"148,710,097",1,0,97
say7w227ui210215201700046,,"148,710,097",1,199,97
dl3h91h63u210213202215205,,"148,709,274",1,200,74
n3zkpxzbz7210218164630086,,"148,707,142",1,150,42
z9671wundz210213212605529,,"148,705,634",1,200,34
am2h1u1jd3210221105652800,,"148,705,147",1,200,47
myzhsu82gt210213180738246,,"148,703,766",1,100,66
mh2m08nlei210215155907244,,"148,702,716",1,200,16
bvywks2l4m210213165527853,,"148,701,901",1,160,1
f43ojxv0dr210213162740314,,"148,701,120",1,30,20
l4xstl5s11210213155816580,,"148,700,304",1,50,4
p42iuszbfn210213200306689,,"148,700,304",1,200,4
15tcs1tcjk210213171125361,,"148,699,235",1,100,35
ftx3tvdl4r210213132928868,,"148,695,169",1,80,69
uhkmmwkiac210213125520328,,"148,694,457",1,50,57
tg9yguh4wz210213102916549,,"148,689,406",1,220,6
lfw4e8kdx7210213093620621,,"148,687,386",1,9,86
xfe7dws372210215172152103,,"148,684,123",1,15,23
ebwejqcfp5210213114531202,,"148,679,061",1,60,61
ibk2rkg6c1210220160059213,,"148,679,061",1,36,61
wmkpfzyh9v210222163222987,,"148,673,946",1,30,46
qwozb2orzz210212182340245,,"148,671,003",1,50,3
9usj4mq4ie210212202509317,,"148,670,951",1,10,51
11tp8x5cdp210213174402257,,"148,667,593",1,30,93
lqzsvqn6ma210212150617506,,"148,666,696",1,50,96
pguizz54e0210215122327885,,"148,666,696",1,50,96
2t0wtj44h8210212132138565,,"148,664,155",1,100,55
pjrdjp0wj8210214132224955,,"148,664,155",1,60,55
5houewpxav210212134727265,,"148,664,074",1,50,74
85ikvq82yx210212131120846,,"148,663,844",1,50,44
arm6lz8tkr210216164031196,,"148,660,696",1,78,96
23wjgl92xp210212073918840,,"148,658,287",1,30,87
t9kdaybrx4210215083545482,,"148,655,028",1,50,28
tswzw16eet210219154445474,,"148,655,028",1,298,28
60nclgrsdh210212095600387,,"148,653,891",1,20,91
e1srk26sg2210215143440434,,"148,651,385",1,50,85
n72oviogb7210211184559863,,"148,651,385",1,20,85
3vp1l1nbu0210211173238012,,"148,650,007",1,60,7
jmigbjawoe210219090354151,,"148,649,997",1,80,97
489z2yqnz0210211160155998,,"148,648,541",1,0,41
fscib1xe0g210211155717589,,"148,648,541",1,0,41
p2ysogtu07210211155340370,,"148,648,541",1,0,41
oxfq1c57q7210215104457194,,"148,647,453",1,50,53
h4ye9xl2n1210211120229705,,"148,643,740",1,49,40
rjvuk3izus210214224331803,,"148,642,518",1,500,18
5nerfiooo1210220112858263,,"148,638,371",1,300,71
bdxoy4cj62210213122305847,,"148,637,902",1,38,2
gu2yhnst5m210211085855956,,"148,631,725",1,20,25
pu5p6p4diw210210214419012,,"148,630,912",1,10,12
8qkd6pig55210211112052750,,"148,630,773",1,60,73
nd7ea22vmw210219073428987,,"148,630,302",1,50,2
hlotijbtlc210212211428374,,"148,629,199",1,10,99
xjxszktmqg210219103530677,,"148,629,199",1,10,99
vjbwrbpf7n210210195123906,,"148,627,726",1,20,26
wqcn8i6wzg210210181447387,,"148,624,907",1,10,7
6pecr8dmqw210210171411095,,"148,622,663",1,30,63
p513qzaaxt210210160252280,,"148,619,776",1,50,76
gwnw5v11ir210213171227538,,"148,614,404",1,80,4
9egjn5n841210210111824813,,"148,608,492",1,49,92
bojh8yn95i210210140317080,,"148,608,224",1,40,24
rn06eqtmay210210084226656,,"148,601,623",1,60,23
gu1mnr7q55210210201615632,,"148,599,952",1,100,52
gbquvnohyt210210112439950,,"148,599,945",1,300,45
yz56vlowpx210210072145460,,"148,599,799",1,200,99
rrvwuj2ryw210210002950380,,"148,596,776",1,9,76
duxw2iiied210209230651881,,"148,594,983",1,0,83
qwyxvu0jqr210209213026931,,"148,591,459",1,49,59
qohss7d2gy210209194501713,,"148,587,576",1,200,76
52z2qxlz8u210209192305407,,"148,585,149",1,120,49
1wj17unrnk210210081819063,,"148,581,489",1,50,89
g63vksi2n3210214111521731,,"148,579,924",1,220,24
e7gpl7hnyn210209104616191,,"148,564,493",1,300,93
ds61u7t4vf210209154044541,,"148,561,973",1,50,73
8euv9zhyzg210218132702455,,"148,558,477",1,39,77
8o2c58gcu3210209093911427,,"148,556,497",1,398,97
js1yvarfow210213115022221,,"148,553,334",1,30,34
xoxdtfrfak210209155000427,,"148,543,872",1,69,72
wrabt6pb9q210208200609753,,"148,540,550",1,800,50
5hkd2zppn0210212115757654,,"148,537,659",1,300,59
i8vcqa53fr210208145345640,,"148,528,303",1,60,3
c5noqhpbxj210208142336723,,"148,526,346",1,"1,000",46
az9ehltu8z210208132057971,,"148,522,943",1,30,43
7i19v7fot7210208144504298,,"148,522,012",1,30,12
1xr0o0bzak210215084826985,,"148,521,798",1,40,98
fa0eyfa2zv210208115714347,,"148,519,652",1,30,52
v64v36da2u210211234955625,,"148,518,365",1,"1,000",65
hnk9131xpv210208111038850,,"148,514,984",1,300,84
3rly4lq639210208214947178,,"148,514,429",1,250,29
rxzkdivel8210210181909506,,"148,510,497",1,30,97
r7n2nq5jrc210208090851905,,"148,507,674",1,30,74
qobagjv85w210211195126956,,"148,502,777",1,50,77
w76rir020k210214180948651,,"148,498,768",1,50,68
vvihbzhryd210207225837508,,"148,497,154",1,49,54
r30nq314xv210207194810606,,"148,488,912",1,60,12
fp0fv8c8ia210207200558817,,"148,487,495",1,50,95
lkuyph8zr2210216145708530,,"148,481,159",1,200,59
29uyyc8o07210207165140004,,"148,480,744",1,300,44
0ar43axmlg210218111100707,,"148,480,126",1,80,26
m3yjec3ojh210207170024558,,"148,480,081",1,30,81
3jdgk1pivy210218140509110,,"148,479,320",1,368,20
233ue08icf210207183215088,,"148,478,094",1,30,94
i9e84216sy210207132715229,,"148,470,794",1,150,94
q6c2ythcwp210207125312939,,"148,469,061",1,120,61
or5g1cmcuy210207120826734,,"148,467,182",1,30,82
7nhuzjn2rx210219170849207,,"148,463,324",1,168,24
vvgxhkibso210207095335306,,"148,457,033",1,286,33
odb1sflyn7210207095130546,,"148,456,644",1,15,44
igemd23849210207095051180,,"148,451,914",1,200,14
la9exyd8x2210216090238268,,"148,451,914",1,39,14
7oohfgcpgz210220104925636,,"148,448,543",1,90,43
qalgue0jmj210207194607233,,"148,440,134",1,50,34
7wqg0yzup3210206204723404,,"148,439,759",1,30,59
2f7lfmtve1210206173331539,,"148,431,323",1,200,23
o92dsei9pc210206200633397,,"148,429,093",1,300,93
d6bnh6uawq210206161916498,,"148,427,389",1,100,89
dq5ieno26j210218150201011,,"148,426,163",1,300,63
gbn1k3cqs5210206150634798,,"148,424,724",1,80,24
qo5uv8zexm210222150733291,,"148,413,435",1,220,35
rmjsb1yb3d210217130142243,,"148,412,646",1,318,46
polabxn9uk210206112546658,,"148,412,207",1,400,7
2qu245vc44210208183940556,,"148,411,428",1,10,28
kir46dx7up210206104244390,,"148,410,291",1,50,91
uswd6otl99210213200635353,,"148,410,242",1,300,42
0sqcisoree210217115321079,,"148,407,464",1,80,64
3i9jg1pv2w210206103438871,,"148,407,027",1,25,27
m9xli8lqrg210206091824411,,"148,404,212",1,50,12
xx9ex5kjuo210206092119618,,"148,403,810",1,50,10
lg50s0l01y210207112627050,,"148,403,806",1,88,6
c7htp12w9y210205231833462,,"148,394,231",1,10,31
5vql12gbf9210205220457841,,"148,389,710",1,200,10
9ik0vhdh49210205165548659,,"148,374,757",1,116,57
kvae7k9dfu210205161805341,,"148,372,787",1,400,87
7bwqxcspzl210206084951501,,"148,371,873",1,49,73
2j3ftkxd3i210205155631964,,"148,371,435",1,"1,000",35
0xent0mu3z210207171623746,,"148,369,330",1,220,30
43v8okj2kx210205154104454,,"148,368,720",1,328,20
hop4nchh2f210205144955642,,"148,367,360",1,0,60
8t0wqho4ms210205135632009,,"148,364,828",1,1,28
ynnwrs6mde210205125927342,,"148,360,508",1,50,8
fx3dfpqq1x210205111433400,,"148,355,373",1,59,73
8ezbh8fos2210205104139207,,"148,353,731",1,30,31
joejqcvk1c210205094431559,,"148,344,039",1,50,39
bgb4pj1w79210204234254994,,"148,338,077",1,50,77
11hokn8hv2210207080532233,,"148,336,864",1,800,64
gcd20nv77d210204222801258,,"148,334,489",1,50,89
17fb2jhlys210219212632026,,"148,333,348",1,280,48
xr77o4x0ti210204211107248,,"148,330,813",1,60,13
n2eqrut5kv210204191649996,,"148,322,910",1,150,10
s4qzpb1ebc210204181846105,,"148,322,488",1,100,88
qiv7hsoehn210205083811275,,"148,321,000",1,150,0
zdpe5n5qcb210204170557382,,"148,318,585",1,30,85
ot2r6gouxn210204170651858,,"148,318,491",1,150,91
yn04z2vlu9210211004156996,,"148,308,150",1,10,50
hq8mrkx381210204210925334,,"148,305,124",1,150,24
2yyq8z5ysl210217110143668,,"148,303,790",1,200,90
bomrllv1gj210206214957242,,"148,303,790",1,330,90
e09fibn8vz210206210313613,,"148,303,790",1,300,90
uyzvqhoie0210214210230818,,"148,303,790",1,200,90
fk1nq5ireb210204113815780,,"148,298,291",1,30,91
nvxd2jx2uk210204131130377,,"148,298,117",1,150,17
498h6wt3zw210205085301909,,"148,297,242",1,298,42
njggxrdj3w210209175502234,,"148,292,517",1,20,17
r3p8erww0q210204092611856,,"148,289,249",1,0,49
p2n0z0l44n210204092441489,,"148,288,719",1,60,19
cbf216gn3t210205095544035,,"148,286,401",1,398,1
dp7v7su23r210204102518515,,"148,285,663",1,30,63
hdteqpqxpn210206155715912,引入期,"148,278,683",1,50,83
cl3ylsige5210203232752991,,"148,278,608",1,0,8
uizlgjf5rp210209093126319,引入期,"148,275,450",1,200,50
9vmfld0p4d210218200639087,专家问诊成长期,"148,273,745",1,500,45
z5ukeijj4n210203204234099,,"148,270,261",1,60,61
7z0n99l4dx210204213902598,,"148,265,917",1,350,17
le2xmjuhgh210222150439986,引入期,"148,257,555",1,35,55
gto51hk35e210203160212949,,"148,254,318",1,30,18
gq30cjhzhs210203130322927,,"148,243,033",1,30,33
hh7t0en9t1210213171547705,问诊成长期,"148,237,804",1,160,4
wws49w4tpq210208123932142,专家问诊成熟期,"148,237,092",1,300,92
xiyp3nws4f210203120629876,,"148,237,092",1,300,92
ve92rsxs4v210203092735895,,"148,224,279",1,258,79
89mkbkhh7w210203082915847,,"148,222,100",1,10,0
2yu013axba210219200231243,非问诊成长期,"148,213,067",1,200,67
pwmzrs6cgq210203100442025,,"148,212,917",1,20,17
r5t8p2gn4n210209215932814,专家问诊成长期,"148,207,194",1,10,94
hjvd1ty3vs210202211317986,,"148,206,078",1,50,78
tl3k1zgpzp210202200356847,,"148,203,097",1,380,97
dvwcm4y1cf210202193317532,,"148,202,301",1,10,1
cna3fmwfd8210204084440909,引入期,"148,201,575",1,500,75
g21qh888dt210202173013814,,"148,194,644",1,200,44
wpbxh6g5i7210202171117023,,"148,194,011",1,49,11
vvmd8p7can210202163429570,,"148,187,520",1,300,20
qteg11j7y2210220075248113,引入期,"148,186,342",1,100,42
ss7nopqnjw210202141619251,,"148,182,809",1,30,9
5z5kny7iwd210202140704304,,"148,182,127",1,200,27
2bz0kavdbd210219133124209,专家问诊成长期,"148,181,799",1,10,99
fe29w2vamk210202131652854,,"148,179,019",1,50,19
8gzit9usjv210202133025466,,"148,178,938",1,150,38
d2aprokunf210208100002943,引入期,"148,177,306",1,30,6
6aq5h3vmxd210202141539165,,"148,177,002",1,20,2
iidglfuiww210204072816224,,"148,172,403",1,60,3
8fieserii4210202114259144,,"148,171,587",1,40,87
ivw0c424f7210219163858578,引入期,"148,170,985",1,50,85
xu4lx94qxp210219074846010,专家问诊成熟期,"148,155,181",1,50,81
eav0rnoygo210219191913906,专家问诊成长期,"148,144,105",1,38,5
mudod8752h210209133406051,专家问诊成熟期,"148,143,000",1,30,0
kh7eu5rwc4210209195210193,专家问诊成长期,"148,136,560",1,100,60
5f9njc4vj9210201173707062,,"148,131,455",1,20,55
ythy47brqr210201164734344,,"148,127,983",1,30,83
9zlkwe0bqr210201125025045,,"148,112,855",1,600,55
fcxm5ucinm210201124458007,,"148,111,057",1,298,57
1xnc6ihkfm210201141926731,,"148,110,789",1,80,89
ecr9rtm1ev210201121611798,,"148,105,596",1,250,96
pxecfxjtrc210209141203833,引入期,"148,104,868",1,30,68
7o4gyvue2h210222095308919,非问诊成长期,"148,100,511",1,30,11
349e9nmim4210131234409488,,"148,085,775",1,1,75
b23z9tsl5w210131232927708,,"148,085,775",1,1,75
ov8gvfp99o210131233820582,,"148,085,775",1,1,75
qq5u58aq4c210131232058254,,"148,084,375",1,50,75
9vx32phk6y210131211420748,,"148,078,785",1,0,85
vf5nb73phh210131211819042,,"148,078,785",1,0,85
t1asbpp61u210201104323627,,"148,078,259",1,90,59
jlasmfrgld210202143452069,,"148,077,405",1,220,5
i7249waf58210131204836153,,"148,077,300",1,100,0
zp7243fri0210131200511131,,"148,074,517",1,60,17
k84symm7sk210131193920405,,"148,072,927",1,80,27
rve7rejqyt210131173317204,,"148,058,728",1,99,28
ys3fscdg3o210212075516718,专家问诊成长期,"148,057,551",1,35,51
5ncaro7okk210218203743421,专家问诊成长期,"148,056,897",1,120,97
b3oj50awkb210131141636656,,"148,055,620",1,30,20
td8vdlihde210131142348985,,"148,052,938",1,300,38
ewotjawv2j210203131753285,,"148,052,734",1,120,34
e0fnp75wf7210206225600571,非问诊成长期,"148,042,898",1,15,98
4zg5w1lw4k210131100855937,,"148,041,311",1,30,11
c0oosbsh78210131085511089,,"148,036,848",1,20,48
g8dke3pn2i210203120242831,,"148,035,991",1,40,91
6o35lzk8i1210131083544342,,"148,035,598",1,50,98
52pivwcly4210204142941215,,"148,035,307",1,25,7
o9zs11q4n4210205173831414,,"148,025,430",1,80,30
bxyad4vlj0210130220534226,,"148,024,490",1,90,90
c6cla1vn9k210130212027760,,"148,021,841",1,200,41
d155h4rls9210130194511690,,"148,017,026",1,49,26
2v8lku2q61210131151309224,,"148,016,308",1,0,8
2w3u4cgnq2210131150751575,,"148,016,308",1,0,8
6e7g22vqpx210131152036184,,"148,016,308",1,0,8
n1uok2tanf210201115654467,,"148,016,308",1,0,8
nnb3kyqkvw210130203909808,,"148,016,308",1,0,8
bbpv1b40js210201110443597,,"148,016,138",1,380,38
kr2kaac17i210130185224797,,"148,014,148",1,100,48
dpqxi8nsmn210130185022586,,"148,013,201",1,150,1
izjtlwg09r210203182836695,,"148,012,247",1,150,47
wsv11svzrh210130184655866,,"148,011,917",1,25,17
31vh53854r210130162628159,,"148,006,687",1,120,87
2rehmww4uv210130143140609,,"147,998,704",1,50,4
hbeuee64pu210201141140030,,"147,998,179",1,50,79
9t5ybhs2qo210130134124287,,"147,997,689",1,23,89
lb326dlmcg210130123351526,,"147,993,724",1,99,24
p0u285jcxu210201202014325,,"147,993,705",1,50,5
5i1llhtlnn210130121333198,,"147,991,975",1,80,75
d3kveboplj210130134425713,,"147,991,960",1,200,60
l8jh027y23210130111942672,,"147,987,763",1,50,63
9gk78a2ipe210130210419817,,"147,986,091",1,59,91
i14eiqrpl2210130112256921,,"147,980,644",1,30,44
8y4q2cqgbu210204161859174,,"147,979,410",1,70,10
70yk6zklk9210218201752330,非问诊成长期,"147,978,990",1,160,90
c2cf9433vk210130082226695,,"147,977,116",1,80,16
gco538kah1210130054810465,,"147,975,496",1,20,96
ay9lecgkla210205130241939,,"147,968,030",1,60,30
7qt9dosb18210205101136244,,"147,967,745",1,200,45
yrcvhfmt1n210129221348710,,"147,967,161",1,20,61
sn3sp90kry210129202756362,,"147,961,511",1,0,11
gfydvc64f1210129202526908,,"147,961,469",1,50,69
ecf34j3ecj210129211350004,,"147,958,606",1,50,6
jjht4io4s8210130171817004,,"147,948,729",1,350,29
wc7dmwj8xf210130165445378,,"147,945,340",1,200,40
0daer27p57210203112258294,,"147,943,595",1,100,95
cds629qw6i210130131022108,,"147,941,631",1,50,31
nkbtbf6dda210129143939153,,"147,937,869",1,100,69
0e3p8yjq2a210203183757646,,"147,934,927",1,100,27
daxwve7tsm210129131208426,,"147,934,666",1,70,66
vzcedlb0og210129122210045,,"147,932,310",1,20,10
7z8wqvor8k210205130929123,引入期,"147,928,930",1,70,30
ns5wpx1yo8210129103832101,,"147,924,717",1,40,17
ftvxwn9g12210129102525058,,"147,923,898",1,200,98
0uvkuzofca210130140429991,,"147,923,772",1,200,72
6fd7laao1h210129223155007,,"147,923,351",1,150,51
xqmkmzqy28210129095524416,,"147,921,756",1,10,56
nc1fs53380210129100716021,,"147,921,696",1,20,96
ver2coeafn210129090422882,,"147,917,539",1,398,39
qndl31177d210129093833728,,"147,917,459",1,40,59
f1bsrag1ur210129090204247,,"147,916,643",1,20,43
